id,site,location,latitude,longitude,date_dd_mm_yyyy,time,depth,temperature,total_length,total_weight,stomach_length,stomach_weight,item_no,genus_species,item_total_length,item_weight,notes
001-Po-16/05/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,16/05/2010,10:56:00,38.1,28,213,112.7,7.2,7.7,1,unid,NA,0.7,Isolated rock on sand patch
002-Po-29/05/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,29/05/2010,10:14:00,27.9,28,124,27.6,3.8,0.3,1,Canthigaster_rostrata,2,1.1,NA
003-Pd-29/05/10,PuertoAventuras,Pared,20.50166667,-87.21166667,29/05/2010,12:55:00,18.5,28,166,52.3,7.8,0.7,1,unid,NA,1.8,NA
004-Cs-12/06/10,PuertoAventuras,Canones,20.47694444,-87.23277778,12/06/2010,10:40:00,15.5,28,203,123.1,6.8,7.5,1,unid,NA,0.3,Isolated rock on sand patch
005-Cs-12/06/10,PuertoAventuras,Canones,20.47694444,-87.23277778,12/06/2010,10:45:00,15,28,212,129,5.6,6.5,1,Callinectes_sapidus,1.4,0.5,Isolated rock on sand patch
005-Cs-12/06/10,PuertoAventuras,Canones,20.47694444,-87.23277778,12/06/2010,10:45:00,15,28,212,129,5.6,6.5,2,Callinectes_sapidus,1.3,0.4,Isolated rock on sand patch
006-Pl-21/06/10,PuertoAventuras,Paamul,20.51277778,-87.19194444,21/06/2010,11:34:00,22.7,29,210,138.75,6.2,10.15,1,Pterois_volaitans,1.7,0.15,Pregnant female
006-Pl-21/06/10,PuertoAventuras,Paamul,20.51277778,-87.19194444,21/06/2010,11:34:00,22.7,29,210,138.75,6.2,10.15,2,unid,1.5,0.1,Pregnant female
007-Pl-21/06/10,PuertoAventuras,Paamul,20.51277778,-87.19194444,21/06/2010,12:11:00,13.4,29,132,50.29,3.6,1.85,1,empty,0,0,NA
008-Po-04/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:07:00,18.5,29,122,17.2,2.6,1.1,1,unid,0.9,0.1,NA
008-Po-04/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:07:00,18.5,29,122,17.2,2.6,1.1,2,Malacoctenus_trinagulatus,2.2,0.1,NA
008-Po-04/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:07:00,18.5,29,122,17.2,2.6,1.1,3,Malacoctenus_trinagulatus,NA,0.1,NA
008-Po-04/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:07:00,18.5,29,122,17.2,2.6,1.1,4,Malacoctenus_trinagulatus,NA,0.1,NA
009-Po-04/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:08:00,18.2,29,224,112.7,6.1,8.5,1,Lysmata_sp,2.9,0.2,Pregnant female
009-Po-04/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,04/07/2010,10:08:00,18.2,29,224,112.7,6.1,8.5,2,Lysmata_sp,2.2,0.2,Pregnant female
010-Pd-08/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,08/07/2010,11:55:00,12.5,29,117,19.6,3.5,1.4,1,Cryptotomus_roseus,2.8,0.2,NA
011-Pd-09/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,09/07/2010,09:43:00,20.1,28,211,130.1,7.1,11.2,1,unid,3.8,0.5,Pregnant female
011-Pd-09/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,09/07/2010,09:43:00,20.1,28,211,130.1,7.1,11.2,2,unid,3.5,0.3,Pregnant female
012-Pd-09/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,09/07/2010,09:49:00,18.2,28,105,11.4,3,0.6,1,Apogon_spp.,1.5,0.1,NA
012-Pd-09/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,09/07/2010,09:49:00,18.2,28,105,11.4,3,0.6,2,Apogon_spp.,1.3,0.1,NA
012-Pd-09/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,09/07/2010,09:49:00,18.2,28,105,11.4,3,0.6,3,Apogon_spp.,1.5,0.1,NA
012-Pd-09/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,09/07/2010,09:49:00,18.2,28,105,11.4,3,0.6,4,Apogon_spp.,1.6,0.1,NA
012-Pd-09/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,09/07/2010,09:49:00,18.2,28,105,11.4,3,0.6,5,Apogon_spp.,1.5,0.1,NA
013-Pd-09/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,09/07/2010,10:01:00,18.1,28,82,5.6,2.1,0.3,0,empty,0,0,NA
014-Is-09/07/10,PuertoAventuras,Islas,20.49,-87.22805556,09/07/2010,11:41:00,14,28,63,2.3,1.1,0.1,1,Mysidium_spp,0.5,0.1,NA
014-Is-09/07/10,PuertoAventuras,Islas,20.49,-87.22805556,09/07/2010,11:41:00,14,28,63,2.3,1.1,0.1,2,Mysidium_spp,0.4,0.1,NA
015-Is-09/07/10,PuertoAventuras,Islas,20.49,-87.22805556,09/07/2010,12:00:00,14.7,28,50,0.9,0.9,0.1,1,Mysidium_spp,0.1,0.1,Juvenile
016-Po-11/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,11/07/2010,09:51:00,19.9,28,60,1.7,1.4,0.2,0,empty,0,0,Inside barrel sponge
017-Po-11/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,11/07/2010,09:53:00,19.7,28,76,4.7,2.7,0.4,1,Lysmata_sp,0.8,0.1,Inside barrel sponge
017-Po-11/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,11/07/2010,09:53:00,19.7,28,76,4.7,2.7,0.4,2,Lysmata_sp,1.2,0.1,Inside barrel sponge
017-Po-11/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,11/07/2010,09:53:00,19.7,28,76,4.7,2.7,0.4,3,Ophioblennius_atlanticus,2,0.1,Inside barrel sponge
018-Po-11/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,11/07/2010,10:06:00,19.3,28,123,22.1,3.5,1.7,1,unid,NA,0.3,Close to Mysidium spp swarm
019-Po-12/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,12/07/2010,09:25:00,21.3,28,262,243.7,7.3,20.7,1,unid,4.2,2.1,NA
019-Po-12/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,12/07/2010,09:25:00,21.3,28,262,243.7,7.3,20.7,2,unid,2.3,0.2,NA
020-Po-12/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,12/07/2010,13:39:00,9.4,28,34,0.3,1.2,0.1,0,empty,0,0,NA
021-Pd-13/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,13/07/2010,11:25:00,12.5,29,124,21.1,3.2,1.6,1,Lysmata_sp,2,0.2,NA
021-Pd-13/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,13/07/2010,11:25:00,12.5,29,124,21.1,3.2,1.6,2,Apogon_spp.,2.3,0.3,NA
022-Cs-14/07/10,PuertoAventuras,Canones,20.47694444,-87.23277778,14/07/2010,09:24:00,28.5,29,213,125.6,5.1,9.8,1,unid,2.5,0.8,"Close to Mysidium spp swarm, pregnant female"
022-Cs-14/07/10,PuertoAventuras,Canones,20.47694444,-87.23277778,14/07/2010,09:24:00,28.5,29,213,125.6,5.1,9.8,2,Lysmata_sp,1.6,0.1,"Close to Mysidium spp swarm, pregnant female"
023-Cs-14/07/10,PuertoAventuras,Canones,20.47694444,-87.23277778,14/07/2010,09:30:00,31.2,29,123,22.9,3.6,2,1,unid,1.8,0.1,Close to Mysidium spp swarm
024-Cu-14/07/10,PuertoAventuras,Cuevitas,20.477743,-87.243813,14/07/2010,11:35:00,7.4,29,116,18.6,3.1,1.3,1,unid,1.1,0.1,Close to Mysidium spp swarm
025-Is-16/07/10,PuertoAventuras,Islas,20.49,-87.22805556,16/07/2010,09:30:00,18.2,28,150,34.4,5.2,2.8,1,Epinephelus_spp.,2.5,0.4,NA
026-Is-16/07/10,PuertoAventuras,Islas,20.49,-87.22805556,16/07/2010,09:30:00,18.2,28,76,3.9,2.1,0.3,1,unid,0.5,0.1,NA
027-Co-16/07/10,PuertoAventuras,Castillo,20.49555556,-87.22,16/07/2010,11:25:00,12.5,28,58,2.1,1.9,0.4,1,unid,1.8,0.1,Close to Mysidium spp swarm
028-Pg-17/07/10,PuertoAventuras,Pedregal,20.50694444,-87.20388889,17/07/2010,09:54:00,14.9,28,142,34.7,4.1,2.3,1,Apogon_spp.,2.9,0.3,Close to Mysidium spp swarm
029-Pg-17/07/10,PuertoAventuras,Pedregal,20.50694444,-87.20388889,17/07/2010,10:00:00,14.4,28,123,19.9,4.9,1.6,0,empty,0,0,NA
030-Pg-17/07/10,PuertoAventuras,Pedregal,20.50694444,-87.20388889,17/07/2010,10:20:00,14.8,28,245,177.8,7.4,21.8,1,Mycteroperca_venenosa,7.8,6.5,Close to Mysidium spp swarm and Chromis cyanea school
030-Pg-17/07/10,PuertoAventuras,Pedregal,20.50694444,-87.20388889,17/07/2010,10:20:00,14.8,28,245,177.8,7.4,21.8,2,unid,3,0.7,Close to Mysidium spp swarm and Chromis cyanea school
031-Cu-17/07/10,PuertoAventuras,Cuevitas,20.477743,-87.243813,17/07/2010,12:23:00,12.6,28,129,22.4,3.4,1.6,1,unid,1.5,0.1,Close to Mysidium spp swarm
031-Cu-17/07/10,PuertoAventuras,Cuevitas,20.477743,-87.243813,17/07/2010,12:23:00,12.6,28,129,22.4,3.4,1.6,2,unid,1.1,0.1,Close to Mysidium spp swarm
032-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:00:00,24.6,28,271,276.2,8.7,13.6,1,Lysmata_sp,4.1,0.1,Close to Mysidium spp swarm and Chromis cyanea school
032-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:00:00,24.6,28,271,276.2,8.7,13.6,2,Lysmata_sp,1.2,0.1,Close to Mysidium spp swarm and Chromis cyanea school
032-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:00:00,24.6,28,271,276.2,8.7,13.6,3,Lysmata_sp,1.4,0.1,Close to Mysidium spp swarm and Chromis cyanea school
032-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:00:00,24.6,28,271,276.2,8.7,13.6,4,Lysmata_sp,1.6,0.1,Close to Mysidium spp swarm and Chromis cyanea school
032-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:00:00,24.6,28,271,276.2,8.7,13.6,5,Apogon_spp.,2.9,0.1,Close to Mysidium spp swarm and Chromis cyanea school
032-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:00:00,24.6,28,271,276.2,8.7,13.6,6,Chromis_multilineata,1.5,0.1,Close to Mysidium spp swarm and Chromis cyanea school
032-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:00:00,24.6,28,271,276.2,8.7,13.6,7,unid,0,0,Close to Mysidium spp swarm and Chromis cyanea school
033-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:07:00,21.2,28,264,197.6,7.1,12,1,unid,0,0,Close to Mysidium spp swarm and Chromis cyanea school
033-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:07:00,21.2,28,264,197.6,7.1,12,2,Lysmata_sp,2.8,0.2,Close to Mysidium spp swarm and Chromis cyanea school
033-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:07:00,21.2,28,264,197.6,7.1,12,3,Lysmata_sp,2.2,0.2,Close to Mysidium spp swarm and Chromis cyanea school
033-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:07:00,21.2,28,264,197.6,7.1,12,4,Lysmata_sp,1.8,0.1,Close to Mysidium spp swarm and Chromis cyanea school
033-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:07:00,21.2,28,264,197.6,7.1,12,5,Lysmata_sp,1.3,0.1,Close to Mysidium spp swarm and Chromis cyanea school
033-Ta-18/07/10,Akumal,Tzimin-Ha,20.392828,-87.306619,18/07/2010,10:07:00,21.2,28,264,197.6,7.1,12,6,Lysmata_sp,0.5,0.1,Close to Mysidium spp swarm and Chromis cyanea school
034-Ss-18-07-10,PuertoAventuras,Santos,20.49305556,-87.22166667,18/07/2010,13:00:00,26.6,29,277,237.8,1.8,0.6,0,empty,0,0,NA
035-Ss-18/07/10,PuertoAventuras,Santos,20.49305556,-87.22166667,18/07/2010,13:00:00,5.7,29,64,2.6,8.2,15.4,1,unid,6.9,2.9,NA
035-Ss-18/07/10,PuertoAventuras,Santos,20.49305556,-87.22166667,18/07/2010,13:00:00,5.7,29,64,2.6,8.2,15.4,2,unid,4.9,0.8,NA
036-Po-19/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,19/07/2010,09:33:00,15.3,29,136,22,3.7,1.6,1,unid,1.7,0.3,Close to Mysidium spp swarm and Chromis cyanea school
037-Po-19/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,19/07/2010,09:37:00,14.5,29,136,27.9,3.8,2.4,1,unid,3.2,0.4,NA
038-Cs-19/07/10,PuertoAventuras,Canones,20.47694444,-87.23277778,19/07/2010,09:30:00,18,29,80,5.7,2.4,0.9,1,Thalassoma_bifasciatum,3.1,0.3,NA
039-Cs-19/07/10,PuertoAventuras,Canones,20.47694444,-87.23277778,19/07/2010,09:30:00,19,29,78,5,2.4,0.3,1,unid,1.2,0.1,NA
040-Cs-19/07/10,PuertoAventuras,Canones,20.47694444,-87.23277778,19/07/2010,09:30:00,20,29,123,21.2,2.9,1.7,0,empty,0,0,NA
041-Cs-19/07/10,PuertoAventuras,Canones,20.47694444,-87.23277778,19/07/2010,09:30:00,18,29,148,37.1,3.8,2.2,1,Lysmata_sp,2.1,0.1,Pregnant female
042-Cu-21/07/10,PuertoAventuras,Cuevitas,20.477743,-87.243813,21/07/2010,12:07:00,12.8,29,157,39.2,3.2,2.7,0,empty,0,0,Close to Mysidium spp swarm
043-Cu-21/07/10,PuertoAventuras,Cuevitas,20.477743,-87.243813,21/07/2010,12:12:00,12.1,29,65,2.5,2,0.1,0,empty,0,0,Close to Mysidium spp swarm
044-Pd-21/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,22/07/2010,09:40:00,12.1,29,74,3.5,1.3,0.1,0,empty,0,0,Close to Mysidium spp swarm
045-Pd-21/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,22/07/2010,09:45:00,12.1,29,79,4.4,2,0.1,1,Lysmata_sp,1.2,0.1,NA
045-Pd-21/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,22/07/2010,09:45:00,12.1,29,79,4.4,2,0.1,2,Lysmata_sp,1.3,0.1,NA
045-Pd-21/07/10,PuertoAventuras,Pared,20.50166667,-87.21166667,22/07/2010,09:45:00,12.1,29,79,4.4,2,0.1,3,Mysidium_spp,0.2,0.1,NA
046-Po-22/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,22/07/2010,14:02:00,12.1,29,81,4.6,2.2,0.3,1,Mysidium_spp,0.6,0.1,NA
046-Po-22/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,22/07/2010,14:02:00,12.1,29,81,4.6,2.2,0.3,2,Mysidium_spp,0.4,0.1,NA
046-Po-22/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,22/07/2010,14:02:00,12.1,29,81,4.6,2.2,0.3,3,Mysidium_spp,0.2,0.1,NA
046-Po-22/07/10,PuertoAventuras,Paraiso,20.48361111,-87.22611111,22/07/2010,14:02:00,12.1,29,81,4.6,2.2,0.3,4,Mysidium_spp,0.2,0.1,NA
